#: table_doi: 10.17182/hepdata.79165.v2/t19
#: name: Efficiency 6
#: description: Signal efficiency (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the symmetric decay of the sbottom into bottom quark and neutralino, for the b0L- best expected signal region.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Efficiency
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],EFFICIENCY [PCT]
1250.0,550.0,24.0
1250.0,600.0,29.0
1300.0,100.0,18.0
1300.0,150.0,22.0
1300.0,200.0,20.0
1300.0,250.0,19.0
1300.0,300.0,23.0
1300.0,350.0,20.0
1300.0,400.0,22.0
1300.0,450.0,19.0
1300.0,50.0,18.0
1300.0,500.0,24.0
1300.0,550.0,25.0
1300.0,600.0,29.0
250.0,200.0,49.0
250.0,230.0,54.0
250.0,245.0,91.0
300.0,100.0,57.0
300.0,150.0,56.0
300.0,230.0,53.0
300.0,250.0,66.0
300.0,280.0,58.0
300.0,295.0,35.0
350.0,150.0,56.0
350.0,250.0,62.0
350.0,300.0,62.0
350.0,330.0,71.0
350.0,345.0,85.0
400.0,1.0,51.0
400.0,100.0,54.0
400.0,150.0,53.0
400.0,200.0,53.0
400.0,300.0,64.0
400.0,350.0,55.0
400.0,380.0,59.0
400.0,395.0,85.0
425.0,325.0,63.0
425.0,375.0,59.0
425.0,405.0,54.0
450.0,150.0,54.0
450.0,200.0,53.0
450.0,300.0,54.0
450.0,350.0,58.0
450.0,400.0,59.0
450.0,430.0,60.0
450.0,445.0,37.0
475.0,375.0,63.0
475.0,425.0,58.0
475.0,455.0,56.0
475.0,470.0,59.0
500.0,1.0,49.0
500.0,100.0,51.0
500.0,150.0,53.0
500.0,200.0,55.0
500.0,250.0,45.0
500.0,300.0,64.0
500.0,350.0,72.0
500.0,400.0,66.0
500.0,450.0,52.0
500.0,480.0,50.0
500.0,495.0,0.0
550.0,1.0,47.0
550.0,100.0,52.0
550.0,200.0,50.0
550.0,250.0,54.0
550.0,300.0,52.0
550.0,350.0,59.0
550.0,400.0,61.0
550.0,450.0,67.0
550.0,500.0,73.0
550.0,530.0,32.0
550.0,545.0,66.0
600.0,1.0,47.0
600.0,100.0,49.0
600.0,150.0,48.0
600.0,200.0,48.0
600.0,300.0,61.0
600.0,350.0,58.0
600.0,400.0,49.0
600.0,450.0,59.0
600.0,500.0,61.0
600.0,550.0,52.0
600.0,580.0,61.0
600.0,595.0,57.0
650.0,1.0,41.0
650.0,100.0,44.0
650.0,150.0,47.0
650.0,200.0,46.0
650.0,250.0,50.0
650.0,300.0,49.0
650.0,350.0,47.0
650.0,400.0,58.0
650.0,450.0,53.0
650.0,500.0,55.0
650.0,550.0,59.0
650.0,600.0,54.0
700.0,1.0,37.0
700.0,100.0,44.0
700.0,150.0,45.0
700.0,200.0,47.0
700.0,250.0,47.0
700.0,300.0,46.0
700.0,350.0,50.0
700.0,400.0,49.0
700.0,450.0,51.0
700.0,500.0,55.0
700.0,550.0,63.0
700.0,600.0,57.0
750.0,1.0,38.0
750.0,100.0,38.0
750.0,150.0,40.0
750.0,200.0,41.0
750.0,250.0,47.0
750.0,300.0,45.0
750.0,350.0,48.0
750.0,400.0,48.0
750.0,450.0,53.0
750.0,500.0,60.0
750.0,550.0,52.0
750.0,600.0,61.0
800.0,1.0,34.0
800.0,100.0,36.0
800.0,200.0,40.0
800.0,250.0,37.0
800.0,300.0,37.0
800.0,350.0,44.0
800.0,400.0,47.0
800.0,450.0,54.0
800.0,50.0,36.0
800.0,500.0,51.0
800.0,550.0,46.0
800.0,600.0,53.0
850.0,1.0,30.0
850.0,100.0,33.0
850.0,200.0,35.0
850.0,250.0,35.0
850.0,300.0,35.0
850.0,350.0,36.0
850.0,400.0,45.0
850.0,450.0,45.0
850.0,50.0,29.0
850.0,500.0,48.0
850.0,550.0,56.0
850.0,600.0,45.0
900.0,1.0,32.0
900.0,100.0,30.0
900.0,150.0,32.0
900.0,200.0,32.0
900.0,250.0,29.0
900.0,300.0,40.0
900.0,350.0,36.0
900.0,400.0,42.0
900.0,450.0,41.0
900.0,50.0,30.0
900.0,500.0,41.0
900.0,550.0,47.0
900.0,600.0,51.0
950.0,1.0,27.0
950.0,100.0,27.0
950.0,150.0,31.0
950.0,200.0,32.0
950.0,250.0,26.0
950.0,300.0,29.0
950.0,350.0,34.0
950.0,400.0,39.0
950.0,450.0,36.0
950.0,50.0,27.0
950.0,500.0,50.0
950.0,550.0,50.0

