#: table_doi: 10.17182/hepdata.81996.v1/t34
#: name: Table 34
#: description: Signal efficiency for C1C1 production in SR2-DF200 for the process  P P -> $\widetilde{\chi}_1^\pm \widetilde{\chi}_1^\mp$ -> 2x $\ell \nu \widetilde{\chi}_1^0$.
#: data_file: figaux16b.yaml
#: data_license:   
#: keyword reactions: P P --> Chargino1 Chargino1
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,,,,,P P --> Chargino1 Chargino1 --> ll Neutralino1 Neutralino1
#: SQRT(S) [GEV],,,,,13000.0
$m(\widetilde{\chi}_1^\pm)$,$m(\widetilde{\chi}_1^\pm)$ LOW,$m(\widetilde{\chi}_1^\pm)$ HIGH,$m(\widetilde{\chi}_1^0)$,$m(\widetilde{\chi}_1^0)$ LOW,$m(\widetilde{\chi}_1^0)$ HIGH,Signal Efficiency [%],error +,error -
175.0,150.0,200.0,112.5,100.0,125.0,0.0,0.0,-0.0
225.0,200.0,250.0,112.5,100.0,125.0,0.0,0.0,-0.0
275.0,250.0,300.0,112.5,100.0,125.0,0.0,0.0,-0.0
325.0,300.0,350.0,112.5,100.0,125.0,261.0,0.0,-0.0
375.0,350.0,400.0,112.5,100.0,125.0,0.0,0.0,-0.0
425.0,400.0,450.0,112.5,100.0,125.0,55.48,0.0,-0.0
475.0,450.0,500.0,112.5,100.0,125.0,0.0,0.0,-0.0
525.0,500.0,550.0,112.5,100.0,125.0,59.66,0.0,-0.0
575.0,550.0,600.0,112.5,100.0,125.0,0.0,0.0,-0.0
625.0,600.0,650.0,112.5,100.0,125.0,59.99,0.0,-0.0
675.0,650.0,700.0,112.5,100.0,125.0,0.0,0.0,-0.0
725.0,700.0,750.0,112.5,100.0,125.0,39.08,0.0,-0.0
775.0,750.0,800.0,112.5,100.0,125.0,0.0,0.0,-0.0
825.0,800.0,850.0,112.5,100.0,125.0,62.86,0.0,-0.0
875.0,850.0,900.0,112.5,100.0,125.0,0.0,0.0,-0.0
925.0,900.0,950.0,112.5,100.0,125.0,60.36,0.0,-0.0
125.0,100.0,150.0,137.5,125.0,150.0,0.0,0.0,-0.0
175.0,150.0,200.0,137.5,125.0,150.0,0.0,0.0,-0.0
225.0,200.0,250.0,137.5,125.0,150.0,0.0,0.0,-0.0
275.0,250.0,300.0,137.5,125.0,150.0,0.0,0.0,-0.0
325.0,300.0,350.0,137.5,125.0,150.0,0.0,0.0,-0.0
375.0,350.0,400.0,137.5,125.0,150.0,0.0,0.0,-0.0
425.0,400.0,450.0,137.5,125.0,150.0,0.0,0.0,-0.0
475.0,450.0,500.0,137.5,125.0,150.0,0.0,0.0,-0.0
525.0,500.0,550.0,137.5,125.0,150.0,0.0,0.0,-0.0
575.0,550.0,600.0,137.5,125.0,150.0,0.0,0.0,-0.0
625.0,600.0,650.0,137.5,125.0,150.0,0.0,0.0,-0.0
675.0,650.0,700.0,137.5,125.0,150.0,0.0,0.0,-0.0
725.0,700.0,750.0,137.5,125.0,150.0,0.0,0.0,-0.0
775.0,750.0,800.0,137.5,125.0,150.0,0.0,0.0,-0.0
825.0,800.0,850.0,137.5,125.0,150.0,0.0,0.0,-0.0
875.0,850.0,900.0,137.5,125.0,150.0,0.0,0.0,-0.0
925.0,900.0,950.0,137.5,125.0,150.0,0.0,0.0,-0.0
125.0,100.0,150.0,162.5,150.0,175.0,0.0,0.0,-0.0
175.0,150.0,200.0,162.5,150.0,175.0,0.0,0.0,-0.0
225.0,200.0,250.0,162.5,150.0,175.0,0.0,0.0,-0.0
275.0,250.0,300.0,162.5,150.0,175.0,0.0,0.0,-0.0
325.0,300.0,350.0,162.5,150.0,175.0,0.0,0.0,-0.0
375.0,350.0,400.0,162.5,150.0,175.0,0.0,0.0,-0.0
425.0,400.0,450.0,162.5,150.0,175.0,0.0,0.0,-0.0
475.0,450.0,500.0,162.5,150.0,175.0,0.0,0.0,-0.0
525.0,500.0,550.0,162.5,150.0,175.0,0.0,0.0,-0.0
575.0,550.0,600.0,162.5,150.0,175.0,0.0,0.0,-0.0
625.0,600.0,650.0,162.5,150.0,175.0,0.0,0.0,-0.0
675.0,650.0,700.0,162.5,150.0,175.0,62.04,0.0,-0.0
725.0,700.0,750.0,162.5,150.0,175.0,0.0,0.0,-0.0
775.0,750.0,800.0,162.5,150.0,175.0,62.94,0.0,-0.0
825.0,800.0,850.0,162.5,150.0,175.0,0.0,0.0,-0.0
875.0,850.0,900.0,162.5,150.0,175.0,60.88,0.0,-0.0
925.0,900.0,950.0,162.5,150.0,175.0,0.0,0.0,-0.0
125.0,100.0,150.0,187.5,175.0,200.0,0.0,0.0,-0.0
175.0,150.0,200.0,187.5,175.0,200.0,0.0,0.0,-0.0
225.0,200.0,250.0,187.5,175.0,200.0,0.0,0.0,-0.0
275.0,250.0,300.0,187.5,175.0,200.0,0.0,0.0,-0.0
325.0,300.0,350.0,187.5,175.0,200.0,0.0,0.0,-0.0
375.0,350.0,400.0,187.5,175.0,200.0,0.0,0.0,-0.0
425.0,400.0,450.0,187.5,175.0,200.0,0.0,0.0,-0.0
475.0,450.0,500.0,187.5,175.0,200.0,0.0,0.0,-0.0
525.0,500.0,550.0,187.5,175.0,200.0,0.0,0.0,-0.0
575.0,550.0,600.0,187.5,175.0,200.0,0.0,0.0,-0.0
625.0,600.0,650.0,187.5,175.0,200.0,0.0,0.0,-0.0
675.0,650.0,700.0,187.5,175.0,200.0,0.0,0.0,-0.0
725.0,700.0,750.0,187.5,175.0,200.0,0.0,0.0,-0.0
775.0,750.0,800.0,187.5,175.0,200.0,0.0,0.0,-0.0
825.0,800.0,850.0,187.5,175.0,200.0,0.0,0.0,-0.0
875.0,850.0,900.0,187.5,175.0,200.0,0.0,0.0,-0.0
925.0,900.0,950.0,187.5,175.0,200.0,0.0,0.0,-0.0
125.0,100.0,150.0,212.5,200.0,225.0,0.0,0.0,-0.0
175.0,150.0,200.0,212.5,200.0,225.0,0.0,0.0,-0.0
225.0,200.0,250.0,212.5,200.0,225.0,0.0,0.0,-0.0
275.0,250.0,300.0,212.5,200.0,225.0,0.0,0.0,-0.0
325.0,300.0,350.0,212.5,200.0,225.0,0.0,0.0,-0.0
375.0,350.0,400.0,212.5,200.0,225.0,0.0,0.0,-0.0
425.0,400.0,450.0,212.5,200.0,225.0,296.5,0.0,-0.0
475.0,450.0,500.0,212.5,200.0,225.0,0.0,0.0,-0.0
525.0,500.0,550.0,212.5,200.0,225.0,52.82,0.0,-0.0
575.0,550.0,600.0,212.5,200.0,225.0,0.0,0.0,-0.0
625.0,600.0,650.0,212.5,200.0,225.0,58.12,0.0,-0.0
675.0,650.0,700.0,212.5,200.0,225.0,0.0,0.0,-0.0
725.0,700.0,750.0,212.5,200.0,225.0,0.0,0.0,-0.0
775.0,750.0,800.0,212.5,200.0,225.0,0.0,0.0,-0.0
825.0,800.0,850.0,212.5,200.0,225.0,63.12,0.0,-0.0
875.0,850.0,900.0,212.5,200.0,225.0,0.0,0.0,-0.0
925.0,900.0,950.0,212.5,200.0,225.0,62.35,0.0,-0.0
125.0,100.0,150.0,237.5,225.0,250.0,0.0,0.0,-0.0
175.0,150.0,200.0,237.5,225.0,250.0,0.0,0.0,-0.0
225.0,200.0,250.0,237.5,225.0,250.0,0.0,0.0,-0.0
275.0,250.0,300.0,237.5,225.0,250.0,0.0,0.0,-0.0
325.0,300.0,350.0,237.5,225.0,250.0,0.0,0.0,-0.0
375.0,350.0,400.0,237.5,225.0,250.0,0.0,0.0,-0.0
425.0,400.0,450.0,237.5,225.0,250.0,0.0,0.0,-0.0
475.0,450.0,500.0,237.5,225.0,250.0,0.0,0.0,-0.0
525.0,500.0,550.0,237.5,225.0,250.0,0.0,0.0,-0.0
575.0,550.0,600.0,237.5,225.0,250.0,0.0,0.0,-0.0
625.0,600.0,650.0,237.5,225.0,250.0,0.0,0.0,-0.0
675.0,650.0,700.0,237.5,225.0,250.0,0.0,0.0,-0.0
725.0,700.0,750.0,237.5,225.0,250.0,0.0,0.0,-0.0
775.0,750.0,800.0,237.5,225.0,250.0,0.0,0.0,-0.0
825.0,800.0,850.0,237.5,225.0,250.0,0.0,0.0,-0.0
875.0,850.0,900.0,237.5,225.0,250.0,0.0,0.0,-0.0
925.0,900.0,950.0,237.5,225.0,250.0,0.0,0.0,-0.0
125.0,100.0,150.0,262.5,250.0,275.0,0.0,0.0,-0.0
175.0,150.0,200.0,262.5,250.0,275.0,0.0,0.0,-0.0
225.0,200.0,250.0,262.5,250.0,275.0,0.0,0.0,-0.0
275.0,250.0,300.0,262.5,250.0,275.0,0.0,0.0,-0.0
325.0,300.0,350.0,262.5,250.0,275.0,0.0,0.0,-0.0
375.0,350.0,400.0,262.5,250.0,275.0,0.0,0.0,-0.0
425.0,400.0,450.0,262.5,250.0,275.0,0.0,0.0,-0.0
475.0,450.0,500.0,262.5,250.0,275.0,27.0,0.0,-0.0
525.0,500.0,550.0,262.5,250.0,275.0,0.0,0.0,-0.0
575.0,550.0,600.0,262.5,250.0,275.0,54.68,0.0,-0.0
625.0,600.0,650.0,262.5,250.0,275.0,0.0,0.0,-0.0
675.0,650.0,700.0,262.5,250.0,275.0,56.88,0.0,-0.0
725.0,700.0,750.0,262.5,250.0,275.0,0.0,0.0,-0.0
775.0,750.0,800.0,262.5,250.0,275.0,61.75,0.0,-0.0
825.0,800.0,850.0,262.5,250.0,275.0,0.0,0.0,-0.0
875.0,850.0,900.0,262.5,250.0,275.0,61.86,0.0,-0.0
925.0,900.0,950.0,262.5,250.0,275.0,0.0,0.0,-0.0
125.0,100.0,150.0,287.5,275.0,300.0,0.0,0.0,-0.0
175.0,150.0,200.0,287.5,275.0,300.0,0.0,0.0,-0.0
225.0,200.0,250.0,287.5,275.0,300.0,0.0,0.0,-0.0
275.0,250.0,300.0,287.5,275.0,300.0,0.0,0.0,-0.0
325.0,300.0,350.0,287.5,275.0,300.0,0.0,0.0,-0.0
375.0,350.0,400.0,287.5,275.0,300.0,0.0,0.0,-0.0
425.0,400.0,450.0,287.5,275.0,300.0,0.0,0.0,-0.0
475.0,450.0,500.0,287.5,275.0,300.0,0.0,0.0,-0.0
525.0,500.0,550.0,287.5,275.0,300.0,0.0,0.0,-0.0
575.0,550.0,600.0,287.5,275.0,300.0,0.0,0.0,-0.0
625.0,600.0,650.0,287.5,275.0,300.0,0.0,0.0,-0.0
675.0,650.0,700.0,287.5,275.0,300.0,0.0,0.0,-0.0
725.0,700.0,750.0,287.5,275.0,300.0,0.0,0.0,-0.0
775.0,750.0,800.0,287.5,275.0,300.0,0.0,0.0,-0.0
825.0,800.0,850.0,287.5,275.0,300.0,0.0,0.0,-0.0
875.0,850.0,900.0,287.5,275.0,300.0,0.0,0.0,-0.0
925.0,900.0,950.0,287.5,275.0,300.0,0.0,0.0,-0.0
125.0,100.0,150.0,312.5,300.0,325.0,0.0,0.0,-0.0
175.0,150.0,200.0,312.5,300.0,325.0,0.0,0.0,-0.0
225.0,200.0,250.0,312.5,300.0,325.0,0.0,0.0,-0.0
275.0,250.0,300.0,312.5,300.0,325.0,0.0,0.0,-0.0
325.0,300.0,350.0,312.5,300.0,325.0,0.0,0.0,-0.0
375.0,350.0,400.0,312.5,300.0,325.0,0.0,0.0,-0.0
425.0,400.0,450.0,312.5,300.0,325.0,0.0,0.0,-0.0
475.0,450.0,500.0,312.5,300.0,325.0,0.0,0.0,-0.0
525.0,500.0,550.0,312.5,300.0,325.0,0.0,0.0,-0.0
575.0,550.0,600.0,312.5,300.0,325.0,0.0,0.0,-0.0
625.0,600.0,650.0,312.5,300.0,325.0,50.65,0.0,-0.0
675.0,650.0,700.0,312.5,300.0,325.0,0.0,0.0,-0.0
725.0,700.0,750.0,312.5,300.0,325.0,0.0,0.0,-0.0
775.0,750.0,800.0,312.5,300.0,325.0,0.0,0.0,-0.0
825.0,800.0,850.0,312.5,300.0,325.0,61.95,0.0,-0.0
875.0,850.0,900.0,312.5,300.0,325.0,0.0,0.0,-0.0
925.0,900.0,950.0,312.5,300.0,325.0,58.13,0.0,-0.0
125.0,100.0,150.0,337.5,325.0,350.0,0.0,0.0,-0.0
175.0,150.0,200.0,337.5,325.0,350.0,0.0,0.0,-0.0
225.0,200.0,250.0,337.5,325.0,350.0,0.0,0.0,-0.0
275.0,250.0,300.0,337.5,325.0,350.0,0.0,0.0,-0.0
325.0,300.0,350.0,337.5,325.0,350.0,0.0,0.0,-0.0
375.0,350.0,400.0,337.5,325.0,350.0,0.0,0.0,-0.0
425.0,400.0,450.0,337.5,325.0,350.0,0.0,0.0,-0.0
475.0,450.0,500.0,337.5,325.0,350.0,0.0,0.0,-0.0
525.0,500.0,550.0,337.5,325.0,350.0,0.0,0.0,-0.0
575.0,550.0,600.0,337.5,325.0,350.0,0.0,0.0,-0.0
625.0,600.0,650.0,337.5,325.0,350.0,0.0,0.0,-0.0
675.0,650.0,700.0,337.5,325.0,350.0,0.0,0.0,-0.0
725.0,700.0,750.0,337.5,325.0,350.0,0.0,0.0,-0.0
775.0,750.0,800.0,337.5,325.0,350.0,0.0,0.0,-0.0
825.0,800.0,850.0,337.5,325.0,350.0,0.0,0.0,-0.0
875.0,850.0,900.0,337.5,325.0,350.0,0.0,0.0,-0.0
925.0,900.0,950.0,337.5,325.0,350.0,0.0,0.0,-0.0
125.0,100.0,150.0,362.5,350.0,375.0,0.0,0.0,-0.0
175.0,150.0,200.0,362.5,350.0,375.0,0.0,0.0,-0.0
225.0,200.0,250.0,362.5,350.0,375.0,0.0,0.0,-0.0
275.0,250.0,300.0,362.5,350.0,375.0,0.0,0.0,-0.0
325.0,300.0,350.0,362.5,350.0,375.0,0.0,0.0,-0.0
375.0,350.0,400.0,362.5,350.0,375.0,0.0,0.0,-0.0
425.0,400.0,450.0,362.5,350.0,375.0,0.0,0.0,-0.0
475.0,450.0,500.0,362.5,350.0,375.0,0.0,0.0,-0.0
525.0,500.0,550.0,362.5,350.0,375.0,0.0,0.0,-0.0
575.0,550.0,600.0,362.5,350.0,375.0,57.8,0.0,-0.0
625.0,600.0,650.0,362.5,350.0,375.0,0.0,0.0,-0.0
675.0,650.0,700.0,362.5,350.0,375.0,51.32,0.0,-0.0
725.0,700.0,750.0,362.5,350.0,375.0,0.0,0.0,-0.0
775.0,750.0,800.0,362.5,350.0,375.0,58.66,0.0,-0.0
825.0,800.0,850.0,362.5,350.0,375.0,0.0,0.0,-0.0
875.0,850.0,900.0,362.5,350.0,375.0,62.16,0.0,-0.0
925.0,900.0,950.0,362.5,350.0,375.0,0.0,0.0,-0.0
125.0,100.0,150.0,387.5,375.0,400.0,0.0,0.0,-0.0
175.0,150.0,200.0,387.5,375.0,400.0,0.0,0.0,-0.0
225.0,200.0,250.0,387.5,375.0,400.0,0.0,0.0,-0.0
275.0,250.0,300.0,387.5,375.0,400.0,0.0,0.0,-0.0
325.0,300.0,350.0,387.5,375.0,400.0,0.0,0.0,-0.0
375.0,350.0,400.0,387.5,375.0,400.0,0.0,0.0,-0.0
425.0,400.0,450.0,387.5,375.0,400.0,0.0,0.0,-0.0
475.0,450.0,500.0,387.5,375.0,400.0,0.0,0.0,-0.0
525.0,500.0,550.0,387.5,375.0,400.0,0.0,0.0,-0.0
575.0,550.0,600.0,387.5,375.0,400.0,0.0,0.0,-0.0
625.0,600.0,650.0,387.5,375.0,400.0,0.0,0.0,-0.0
675.0,650.0,700.0,387.5,375.0,400.0,0.0,0.0,-0.0
725.0,700.0,750.0,387.5,375.0,400.0,0.0,0.0,-0.0
775.0,750.0,800.0,387.5,375.0,400.0,0.0,0.0,-0.0
825.0,800.0,850.0,387.5,375.0,400.0,0.0,0.0,-0.0
875.0,850.0,900.0,387.5,375.0,400.0,0.0,0.0,-0.0
925.0,900.0,950.0,387.5,375.0,400.0,0.0,0.0,-0.0

